imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj,certificate,runtime,rating,votes
tt0371746,4.977955,140000000,Iron Man,"Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow,Leslie Bibb",http://www.ironmanmovie.com/,Jon Favreau,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Action,Science Fiction,Adventure",592656630.49,PG-13,126 min,7.9,1067971.0
tt0367882,3.16167,185000000,Indiana Jones and the Kingdom of the Crystal Skull,"Harrison Ford,Cate Blanchett,Shia LaBeouf,Ray Winstone,Karen Allen",http://www.indianajones.com/site/index.html,Steven Spielberg,"Set during the Cold War, the Soviets â€“ led by sword-wielding Irina Spalko â€“ are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend â€“ and Indy's colleague â€“ Professor Oxley has been captured for his knowledge of the skull's whereabouts.","Adventure,Action",796694459.90,PG-13,122 min,6.2,460060.0
tt0830515,3.086676,200000000,Quantum of Solace,"Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini",http://www.mgm.com/view/movie/234/Quantum-of-Solace/,Marc Forster,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","Adventure,Action,Thriller,Crime",593584854.51,PG-13,106 min,6.6,453757.0
tt0441773,3.036644,130000000,Kung Fu Panda,"Jack Black,Dustin Hoffman,Angelina Jolie,Jackie Chan,Lucy Liu",http://www.kungfupanda.com/,Mark Osborne|John Stevenson,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.","Animation,Family",639822446.35,PG,92 min,7.6,479025.0
tt0489099,2.017536,85000000,Jumper,"Hayden Christensen,Jamie Bell,Samuel L. Jackson,Rachel Bilson,Michael Rooker",http://www.fox.co.uk/jumper,Doug Liman,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, Davidâ€™s extraordinary gift may be his only hope for survival!","Adventure,Fantasy,Science Fiction",225072774.80,PG-13,88 min,6.1,310634.0
tt0493464,1.982998,75000000,Wanted,"Angelina Jolie,James McAvoy,Morgan Freeman,Thomas Kretschmann,Terence Stamp",http://www.wantedmovie.com/,Timur Bekmambetov,"Doormat Wesley Gibson discovers that his recently murdered father â€“ who Wesley never knew â€“ belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.","Action,Thriller,Crime",261572412.02,R,110 min,6.7,393984.0
tt0448157,1.800286,150000000,Hancock,"Will Smith,Charlize Theron,Jason Bateman,Jae Head,Eddie Marsan",http://www.sonypictures.com/movies/hancock/,Peter Berg,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?","Fantasy,Action",632008606.05,PG-13,92 min,6.4,489021.0
tt0942385,1.622426,92000000,Tropic Thunder,"Ben Stiller,Robert Downey Jr.,Jack Black,Jay Baruchel,Brandon T. Jackson",http://www.tropicthunder.com/,Ben Stiller,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn canâ€™t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.","Action,Comedy",190477465.09,R,107 min,7.1,422817.0
tt0462499,1.605544,50000000,Rambo,"Sylvester Stallone,Julie Benz,Matthew Marsden,Reynaldo Gallegos,Jake La Botz",http://www.rambofilm.com/,Sylvester Stallone,"When governments fail to act on behalf of captive missionaries, ex-Green Beret John James Rambo sets aside his peaceful existence along the Salween River in a war-torn region of Thailand to take action.  Although he's still haunted by violent memories of his time as a U.S. soldier during the Vietnam War, Rambo can hardly turn his back on the aid workers who so desperately need his help.","Action,Thriller",114692303.27,R,92 min,7.0,235271.0
tt0452608,1.583079,45000000,Death Race,"Jason Statham,Joan Allen,Ian McShane,Tyrese Gibson,Natalie Martinez",http://www.deathracemovie.net/,Paul W.S. Anderson,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.","Action,Thriller,Science Fiction",74705690.28,R,105 min,6.4,211717.0
tt1060277,1.499784,25000000,Cloverfield,"Lizzy Caplan,Jessica Lucas,Odette Annable,Michael Stahl-David,Mike Vogel",http://www.cloverfieldmovie.com/,Matt Reeves,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.","Action,Thriller,Science Fiction",172947523.07,PG-13,85 min,7.0,404292.0
tt0770752,1.34132,70000000,Fool's Gold,"Matthew McConaughey,Kate Hudson,Donald Sutherland,Ewen Bremner,Alexis Dziena",http://www.warnerbros.com/fools-gold,Andy Tennant,"Charming but luckless treasure hunter Ben Finnegan has sacrificed his relationship with his wife to search for the Queen's Dowry, a legendary treasure lost at sea. But the discovery of a new clue rekindles his hope for riches -- and his marriage.",Comedy,112653311.59,PG-13,112 min,5.7,81312.0
