movie_id,certificate,runtime,rating,votes
tt1409024,PG-13,106 min,6.8,368312.0
tt0413300,PG-13,139 min,6.3,598454.0
tt2239822,PG-13,136 min,6.4,184901.0
tt0181852,R,109 min,6.3,404157.0
tt0120647,PG-13,120 min,6.2,181404.0
tt1650062,PG-13,112 min,7.0,357094.0
tt0375912,R,105 min,7.3,185854.0
tt0480249,PG-13,101 min,7.2,768223.0
tt0383060,PG,83 min,4.3,21693.0
tt2704998,R,100 min,6.9,239542.0
tt7456310,R,118 min,6.6,85184.0
tt0367882,PG-13,122 min,6.2,460060.0
tt0328107,R,146 min,7.7,367938.0
tt1843866,PG-13,136 min,7.8,854167.0
tt0149261,R,105 min,5.9,135982.0
tt0988045,PG-13,128 min,7.6,641133.0
tt0356910,PG-13,120 min,6.5,504188.0
tt0083944,18+,93 min,7.7,257935.0
tt0078346,PG,143 min,7.4,177943.0
tt0399146,R,96 min,7.4,242376.0
tt7097896,PG-13,97 min,5.9,229828.0
tt6320628,PG-13,129 min,7.4,502168.0
tt0383574,PG-13,151 min,7.3,727169.0
tt2345759,PG-13,110 min,5.4,193552.0
tt2126355,PG-13,114 min,6.1,242203.0
tt1386588,PG-13,107 min,6.6,273760.0
tt5052474,R,122 min,7.0,152158.0
tt0106977,PG-13,130 min,7.8,299707.0
tt1905041,PG-13,130 min,7.0,398740.0
tt1091191,R,121 min,7.5,292050.0
tt0948470,PG-13,136 min,6.9,663418.0
tt0360717,PG-13,187 min,7.2,428808.0
tt0119094,R,138 min,7.3,382558.0
tt3606756,PG,118 min,7.6,302726.0
tt7975244,PG-13,123 min,6.7,256717.0
tt1809398,PG-13,137 min,7.2,171382.0
tt0110475,PG-13,101 min,6.9,393009.0
tt0121765,PG,142 min,6.6,719027.0
tt2179136,R,133 min,7.3,495061.0
tt1270797,PG-13,112 min,6.6,493655.0
tt2660888,PG-13,122 min,7.0,249158.0
tt1489889,PG-13,107 min,6.3,195964.0
tt1136608,R,112 min,7.9,688273.0
tt2404233,PG-13,127 min,5.4,119458.0
tt8784956,R,96 min,5.4,57831.0
tt0099810,PG,135 min,7.5,204524.0
tt0118688,PG-13,125 min,3.7,256956.0
tt0479143,PG,102 min,7.1,219775.0
tt0325710,R,154 min,7.8,446709.0
tt0425112,R,121 min,7.8,511241.0
tt0093507,PG,106 min,5.3,41909.0
tt5886046,PG-13,99 min,6.4,126395.0
tt5033998,PG-13,118 min,4.9,75232.0
tt1245526,PG-13,111 min,7.0,312635.0
tt3393786,PG-13,118 min,6.1,162602.0
tt0054047,Approved,128 min,7.7,96868.0
tt0120755,PG-13,123 min,6.1,347930.0
tt5774060,PG-13,95 min,5.8,85619.0
tt0074812,PG,119 min,6.8,57997.0
tt0082340,R,99 min,7.1,146442.0
tt6924650,PG-13,138 min,6.7,87889.0
tt0369339,R,120 min,7.5,410754.0
tt6565702,PG-13,113 min,5.7,190977.0
tt0143145,PG-13,128 min,6.4,203393.0
tt1972591,PG-13,126 min,6.7,220673.0
tt1270798,PG-13,131 min,7.7,698601.0
tt0103893,PG-13,86 min,5.6,46253.0
tt0096256,R,94 min,7.2,133549.0
tt0120611,R,120 min,7.1,279833.0
tt0103855,R,129 min,6.3,138662.0
tt0245844,PG-13,131 min,7.7,140439.0
tt0120912,PG-13,88 min,6.1,381299.0
tt3079380,R,120 min,7.0,248019.0
tt1490017,PG,100 min,7.7,361313.0
tt0800080,PG-13,112 min,6.6,498397.0
tt0076729,PG,96 min,6.9,52232.0
tt0093409,R,109 min,7.6,262930.0
tt0120746,PG-13,136 min,6.8,188330.0
tt0493464,R,110 min,6.7,393984.0
tt0870154,PG-13,127 min,6.6,195217.0
tt1037705,R,118 min,6.8,322870.0
tt1979320,R,123 min,8.1,484925.0
tt0311113,PG-13,138 min,7.4,225281.0
tt1298650,PG-13,136 min,6.6,534586.0
tt2404435,PG-13,132 min,6.8,215232.0
tt0047478,Not Rated,207 min,8.6,348642.0
tt0378194,R,137 min,8.0,764292.0
tt3110958,PG-13,129 min,6.4,296670.0
tt2872732,R,89 min,6.4,504017.0
tt0134847,R,109 min,7.1,243294.0
tt2109248,PG-13,165 min,5.6,317939.0
tt0317740,PG-13,111 min,7.0,373406.0
tt1663662,PG-13,131 min,6.9,507813.0
tt0859163,PG-13,112 min,5.2,163838.0
tt6499752,R,100 min,7.5,189456.0
tt0091203,R,116 min,7.1,138674.0
tt4701182,PG-13,114 min,6.7,169911.0
tt5719748,R,119 min,6.2,71368.0
tt2034800,PG-13,103 min,5.9,138819.0
tt3532216,R,115 min,7.1,189626.0
tt2719848,PG-13,121 min,7.1,221462.0
tt0317919,PG-13,126 min,6.9,361899.0
tt0120804,R,100 min,6.6,275282.0
tt0110632,R,119 min,7.2,239008.0
tt0338526,PG-13,131 min,6.0,271049.0
tt0112462,PG-13,121 min,5.4,256293.0
tt1440129,PG-13,131 min,5.8,250485.0
tt0475944,PG-13,97 min,5.1,50377.0
tt1267297,PG-13,98 min,6.0,158532.0
tt0119698,PG-13,134 min,8.4,399478.0
tt0187393,R,165 min,7.2,279444.0
tt1253864,R,110 min,6.0,170754.0
tt0080455,13+,133 min,7.9,203510.0
tt1433108,R,98 min,6.4,108816.0
tt1877832,PG-13,132 min,7.9,718367.0
tt1034032,R,95 min,5.7,136531.0
tt1228705,PG-13,124 min,6.9,825494.0
tt1038686,R,100 min,5.2,106827.0
tt0449088,PG-13,169 min,7.1,658765.0
tt1634106,PG-13,109 min,5.7,79793.0
tt0945513,PG-13,93 min,7.5,526230.0
tt5439796,PG-13,118 min,7.0,153082.0
tt0057193,G,210 min,7.5,43032.0
tt2120120,PG-13,105 min,5.6,147709.0
tt0348150,PG-13,154 min,6.1,285581.0
tt0448011,PG-13,121 min,6.2,237432.0
tt0120177,PG-13,96 min,5.2,69487.0
tt0296572,R,119 min,6.6,232250.0
tt2245084,PG,102 min,7.8,468341.0
tt0082198,R,129 min,6.9,152794.0
tt0955308,PG-13,140 min,6.6,272839.0
tt2406566,R,115 min,6.7,197129.0
tt1608290,PG-13,101 min,4.7,72028.0
tt0109506,R,102 min,7.5,187760.0
tt1981128,PG-13,109 min,5.3,110683.0
tt3794354,PG,99 min,6.5,143123.0
tt0084827,PG,96 min,6.7,123755.0
tt1798684,R,124 min,7.3,242527.0
tt0105690,R,103 min,6.5,89602.0
tt0227538,PG,88 min,5.6,120052.0
tt1648190,PG-13,95 min,5.6,140655.0
tt1276104,R,119 min,7.4,582080.0
tt2294449,R,112 min,7.0,383574.0
tt0381849,R,122 min,7.7,316785.0
tt0106856,R,113 min,7.6,193544.0
tt0114214,R,108 min,6.5,96672.0
tt0094625,R,124 min,8.0,190060.0
tt2267968,PG,95 min,7.1,164650.0
tt6998518,Not Rated,121 min,6.5,81739.0
tt1235522,R,109 min,6.1,81409.0
tt0404390,R,122 min,7.3,100999.0
tt0964517,R,116 min,7.8,372876.0
tt0112851,R,104 min,7.1,188943.0
tt0145660,PG-13,95 min,6.6,237661.0
tt1502404,R,104 min,5.4,100634.0
tt0133152,PG-13,119 min,5.7,222070.0
tt0983193,PG,107 min,7.3,234158.0
tt1032755,R,114 min,7.2,255924.0
tt0088944,R,90 min,6.7,164649.0
tt6850820,R,101 min,6.5,66506.0
tt0337978,PG-13,128 min,7.1,409985.0
tt0770752,PG-13,112 min,5.7,81312.0
tt1340138,PG-13,126 min,6.3,281561.0
tt0082694,R,96 min,7.6,183726.0
tt2274648,R,120 min,5.2,92367.0
tt0405325,PG,100 min,6.3,89209.0
tt1535109,PG-13,134 min,7.8,467045.0
tt3300542,R,99 min,5.9,161622.0
tt4532826,PG-13,116 min,5.3,75540.0
tt0112740,R,116 min,7.3,115603.0
tt1234719,PG-13,93 min,5.3,78310.0
tt0316654,PG-13,127 min,7.4,661539.0
tt1206543,R,116 min,6.7,118905.0
tt0829150,PG-13,92 min,6.2,199059.0
tt0230011,PG,95 min,6.9,123509.0
tt0090728,PG-13,99 min,7.2,143980.0
tt1571234,PG-13,128 min,6.1,129047.0
tt0117998,PG-13,113 min,6.4,199936.0
tt0401729,PG-13,132 min,6.6,276296.0
tt0159273,PG-13,106 min,6.4,107604.0
tt0458525,PG-13,107 min,6.5,510537.0
tt1706593,PG-13,84 min,7.0,254580.0
tt0257076,PG-13,117 min,6.0,149620.0
